LOADOUT NAME,FACTION,CLAN,ARMBAND,CLOTHING,ARMOR,GUN,ACCURACY,MELEE,GEAR,FOUND,LOOTS,M.O. PERTAINING TO LOADOUT
Elven,BIRDS,Álfari,,Grey Steel,Heavy,Crossbow,Deadly,Warhammer,Bandages,Strongrooms,Melee,Guards Keycard Strongrooms with Stealth
LabRats,BIRDS,Bird Clans,RED,Lab Coats,None,22,Deadly,Random,"Survivor, Nav, Tools",Rare in Map,Melee,Gathers in random places on map
LabRats2,BIRDS,Bird Clans,RED,NBC,None,Explosives,Deadly,Random,"Survivor, Nav, Tools",Rare in Map,Melee,Gathers in random places on map - Chem Attack
OD,BIRDS,Bird Clans,RED,OD Fatigues,Ballistic,45-308,Deadly,Machete,"Medic, Mags",Clan Base,Upgrade,Guards Bases - SVCh-308 Specialists
OD2,BIRDS,Bird Clans,RED,OD Fatigues,Ballistic,45-308,Deadly,Machete,"Medic, Mags, Rares",Clan Base,Upgrade,Guards Bases - 308 Specialists
OD3,BIRDS,Bird Clans,RED,OD Fatigues,Ballistic,9mm-308,Pinpoint,Axe,"Medic, DNA",Clan Base,Upgrade,Officer - Agram & Remington 700 Specialists
OD4,BIRDS,Bird Clans,RED,OD Fatigues,Ballistic,380-762,Pinpoint,Mace,"Medic, Mags",Clan Base,Upgrade,P90 & Machine Gun Specialists
Crossbowman,SHAMANS,Black Arrow,BLACK,Black,Heavy ⚄,Crossbow,Decent,Knives,Survivor,Anywhere,Upgrade,Protects Cemeteries/Churches - Bow Specialists
RSTA,MERCENARIES,Castle Clan,RSTA Target,Navy Camo,Light,9mm-556,Good,,Mags,Rare in Map,Upgrade,M110 Specialsts - Corrupts Authorities
RSTAdark,MERCENARIES,Castle Clan,RSTA Target,Navy Camo,Light,45,Good,Mace,Mags,Rare in Map,Upgrade,Colt 1911 Specialists - Ambushes Stealthly
SpecialOperator,MERCENARIES,Castle Clan,RSTA Target,Navy Camo,Light,50-Explosives,Good,,Mags,Archipelago,Upgrade,Guards Archipelago Castle with explosives
SpecialOperator_No50,MERCENARIES,Castle Clan,RSTA Target,Navy Camo,Light,Explosives,Good,,Mags,Archipelago,Upgrade,Guards Archipelago Castle - LAW/RPG  Specialists
SpecialOperator_NoLAW,MERCENARIES,Castle Clan,RSTA Target,Navy Camo,Light,50bmg,Good,,Mags,Archipelago,Upgrade,Guards Archipelago Castle - 50bmg Specialists
Bandit,RAIDERS,Criminals,,Random Camo,Light,Random,Decent,Knives,Random,Anywhere,All Things,Roams map looting - Starts with low gear
Bandit2,RAIDERS,Criminals,,Random Camo,Light,Random,Decent,Knives,Random,Anywhere,All Things,Roams map looting - Starts well geared
PlayerSurvivor,RAIDERS,Criminals,,Survivor,None,380-45,Fair,Bats,"Survivor, Nav, Tools",Anywhere,All Things,Sims Freshie with random loot
SnowClan,RAIDERS,Criminals,,Winter Ghille,Heavy,338-408,Good,Swords,Random w/ Rares,Events,All Things,Winter map events only
Team___,RAIDERS,Criminals,,Sweats,None,12g,Poor,Random,Boxing,??,??,Easter Egg (discover them to find out more)
